student_id,name,major,gpa,standing,completed_courses,preferred_courses
1,William Patterson,Biology,2.21,Suspended,"['MATH1131', 'CSE1010']",[]
2,Maria Dominguez,Biology,2.81,Probation,"['CSE1010', 'MATH1131']",[]
3,Veronica Wilson,Mathematics,2.67,Good,"['MATH1131', 'CSE1010']",[]
4,Roberto Rios,Mathematics,3.6,Suspended,"['CSE1010', 'MATH1131']",[]
5,Joseph Brown,Mathematics,2.23,Probation,"['MATH1131', 'CSE1010']",[]
6,Travis Estrada,Computer Science,3.45,Good,"['CSE1010', 'MATH1131']",[]
7,Shane Obrien,Engineering,3.41,Suspended,"['CSE1010', 'MATH1131']",[]
8,Kevin Shaw,Computer Science,2.73,Probation,"['MATH1131', 'CSE1010']",[]
9,Andre Ayala,Computer Science,2.74,Good,"['MATH1131', 'CSE1010']",[]
10,Anne Bailey,Biology,2.66,Good,"['CSE1010', 'MATH1131']",[]
11,Brian Jackson,Mathematics,3.03,Suspended,"['CSE1010', 'MATH1131']",[]
12,Monica Greer,Engineering,3.1,Good,"['MATH1131', 'CSE1010']",[]
13,Bryan Brown,Computer Science,2.27,Good,"['MATH1131', 'CSE1010']",[]
14,Mary Conrad,Mathematics,2.09,Suspended,"['MATH1131', 'CSE1010']",[]
15,Lisa Leonard,Engineering,2.6,Good,"['MATH1131', 'CSE1010']",[]
16,Jessica Davis,Computer Science,3.64,Good,"['MATH1131', 'CSE1010']",[]
17,William Fox,Mathematics,3.13,Probation,"['CSE1010', 'MATH1131']",[]
18,Ashley Clarke,Finance,2.42,Suspended,"['CSE1010', 'MATH1131']",[]
19,William Sanchez,Computer Science,2.45,Good,"['CSE1010', 'MATH1131']",[]
20,Stephen Flores,Biology,3.85,Suspended,"['MATH1131', 'CSE1010']",[]
21,Brian Dominguez,Mathematics,3.89,Good,"['MATH1131', 'CSE1010']",[]
22,Daniel Grimes,Computer Science,2.87,Probation,"['MATH1131', 'CSE1010']",[]
23,Brittany Romero,Biology,2.84,Suspended,"['MATH1131', 'CSE1010']",[]
24,John Henry,Computer Science,2.81,Probation,"['CSE1010', 'MATH1131']",[]
25,Edward Wise,Mathematics,2.38,Suspended,"['CSE1010', 'MATH1131']",[]
26,Matthew Bailey,Computer Science,2.48,Good,"['MATH1131', 'CSE1010']",[]
27,Stephanie Frederick,Biology,4.0,Good,"['CSE1010', 'MATH1131']",[]
28,Cynthia Adams,Mathematics,2.91,Probation,"['MATH1131', 'CSE1010']",[]
29,Valerie Blake,Engineering,3.41,Suspended,"['MATH1131', 'CSE1010']",[]
30,Karen Medina,Biology,2.24,Good,"['CSE1010', 'MATH1131']",[]
31,Phillip Levine,Finance,2.33,Probation,"['MATH1131', 'CSE1010']",[]
32,Theresa Schmidt,Mathematics,2.94,Probation,"['MATH1131', 'CSE1010']",[]
33,Brandy Turner,Computer Science,3.76,Probation,"['MATH1131', 'CSE1010']",[]
34,Tyler Neal,Finance,2.11,Probation,"['MATH1131', 'CSE1010']",[]
35,Bruce Larson,Computer Science,2.81,Suspended,"['MATH1131', 'CSE1010']",[]
36,Angela Forbes,Mathematics,3.93,Suspended,"['MATH1131', 'CSE1010']",[]
37,Heather Dean,Biology,2.28,Probation,"['MATH1131', 'CSE1010']",[]
38,Nicholas Mata,Computer Science,2.88,Probation,"['CSE1010', 'MATH1131']",[]
39,Robert Lewis,Engineering,3.2,Probation,"['CSE1010', 'MATH1131']",[]
40,Ricky Hall,Mathematics,2.78,Good,"['MATH1131', 'CSE1010']",[]
41,Denise Krueger,Finance,3.61,Good,"['MATH1131', 'CSE1010']",[]
42,Christian Freeman,Finance,2.47,Suspended,"['MATH1131', 'CSE1010']",[]
43,Elizabeth Molina,Computer Science,3.43,Probation,"['MATH1131', 'CSE1010']",[]
44,Mr. Timothy Hammond MD,Engineering,2.73,Suspended,"['MATH1131', 'CSE1010']",[]
45,Amy Hunt PhD,Engineering,3.07,Suspended,"['MATH1131', 'CSE1010']",[]
46,Jimmy Rodriguez,Engineering,3.88,Suspended,"['CSE1010', 'MATH1131']",[]
47,Ann Cannon,Engineering,2.87,Probation,"['MATH1131', 'CSE1010']",[]
48,Tiffany Lee,Computer Science,3.32,Probation,"['MATH1131', 'CSE1010']",[]
49,Katie Hernandez,Finance,2.06,Suspended,"['MATH1131', 'CSE1010']",[]
50,Adam Saunders,Computer Science,3.3,Good,"['CSE1010', 'MATH1131']",[]
51,Andrea Ruiz,Finance,2.41,Good,"['MATH1131', 'CSE1010']",[]
52,Karen Blair,Biology,2.85,Probation,"['MATH1131', 'CSE1010']",[]
53,Michael Guzman,Engineering,3.37,Probation,"['CSE1010', 'MATH1131']",[]
54,Drew Dunn,Mathematics,3.35,Suspended,"['MATH1131', 'CSE1010']",[]
55,Gregory Edwards,Biology,3.36,Good,"['CSE1010', 'MATH1131']",[]
56,Christina Woods,Engineering,3.58,Suspended,"['CSE1010', 'MATH1131']",[]
57,Cameron Cooper,Mathematics,2.92,Suspended,"['CSE1010', 'MATH1131']",[]
58,Anthony Williams,Finance,2.95,Probation,"['MATH1131', 'CSE1010']",[]
